titulo	slug	entidad_origen	codigo_origen	categoria	direccion1	direccion2	cp	poblacion	descripcion	telefono	fax	url	email	foto	latitud	longitud	foto_x	foto_x_titulo	foto_x_alt	acces_fisica	acces_visual	acces_auditiva	acces_intelectual	acces_organica	tipo_biblio	año_inicio	institucion	tipo_institucion	horarios	tipo_acceso	tipo_centro	tematica			servicios											
Udal Liburutegia		ejgv_biblio		Biblioteca	Bartolome Deuna, 34 - behe solairua		20268	AMEZKETA		943 653 189			amezketa@udal.gipuzkoa.net							accesible	no_accesible	no_accesible			Publikoa	1987	Amezketako Udala	Ayuntamiento		Libre 	Publico	General			SÍ						SÍ		SÍ			
Udal Liburutegia		ejgv_biblio		Biblioteca	Zelaieta parkea, z/g		48340	AMOREBIETA-ETXANO		946 300 626			liburu.amorebieta@ametx.net							accesible	no_accesible	sin_datos			Publikoa	1974	Zornotzako Kultura eta Euskera zerbitzurako herri erakundea	Erakunde autonoma		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ				SÍ	SÍ	SÍ		
Udal Liburutegia		ejgv_biblio		Biblioteca	Aldai, 1		1470	AMURRIO		945 393 720			liburutegia@amurrio.org							accesible	no_accesible	no_accesible			Publikoa	1987	Amurrioko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ		
Udal Liburutegia		ejgv_biblio		Biblioteca	Ondarreta, 2		20140	ANDOAIN		943300 615			liburutegia@andoain.org							no_accesible	no_accesible	no_accesible			Publikoa	1962	Andoaingo Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Herriko plaza, z/g		20270	ANOETA		943 651 200			liburutegi@anoeta.net							no_accesible	no_accesible	no_accesible			Publikoa	1989	Anoetako Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ	SÍ			SÍ	SÍ	SÍ		SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Eguzki auzoa, 4		20577	ANTZUOLA		943-766065			liburutegia@antzuola.com							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Asparrengo Liburutegia		ejgv_biblio		Biblioteca	Ilarduibide, 6 behea		1250	ASPARRENA		945 314 642			aasparrena.biblioteca@ayto.alava.net							accesible	no_accesible	no_accesible			Publikoa	1960	Asparrengo Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ		SÍ	SÍ	SÍ	SÍ		SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Aramako plaza, 4		20248	ARAMA		943-881170			mlasa.itsasondo@udal.gipuzkoa.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Nardeaga, 36		1160	ARAMAIO		945 445 374			kulturetxea@aramaio.org							accesible	no_accesible	no_accesible			Publikoa	1969	Aramaioko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ		SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	Zelaia auzoa, 1		48140	ARANTZAZU												accesible	sin_datos	sin_datos			Publikoa	1986	Arantzazuko Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ	SÍ			SÍ		SÍ		SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Gudarien plaza, 7		48143	AREATZA		94-6739010			libu.areatza@euskalnet.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Santa Kurtz, 20		20550	ARETXABALETA		943 081 001			liburutegia@aretxabaleta.net							accesible	accesible	no_accesible			Publikoa	1965	Aretxabaletako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
Santa Marina Auzo Biblioteka		ejgv_biblio		Biblioteca	Toki Argi. Agerre kalea, 2 A		20500	ARRASATE		943 711 925		http://www.arrasate-mondragon.org/auzo-biblioteka	auzobiblioteka@arraste-mondragon.net							accesible	no_accesible	no_accesible			Publikoa	1991	Arrasateko Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Udal Biblioteka		ejgv_biblio		Biblioteca	Azoka kalea, 1		20500	ARRASATE		943 252 025		http://www.arrasate-mondragon.org/biblioteka	biblioteka@arrasate-mondragon.net							accesible	no_accesible	no_accesible			Publikoa	1966	Arrasateko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Arrazolako Liburutegia		ejgv_biblio		Biblioteca	Arrazola, z/g		48291	ATXONDO												sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Libao auzoa, 14		48114	ARRIETA		94-615 30 65			claucirica.arrieta@bizkaia.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Abusuko Udal Biblioteka		ejgv_biblio		Biblioteca	Olatxu, 4		48003	ARRIGORRIAGA		944 792 930			abusuliburutegia@arrigokultura.org							accesible	no_accesible	no_accesible			Publikoa	1988	Arrigorriagako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ			SÍ	SÍ	SÍ		SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Urigoiti pasealekua, 8		48480	ARRIGORRIAGA		94 671 23 61			liburutegi@arrigokultura.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Biblioteca Pública Municipal		ejgv_biblio		Biblioteca	Avda. Lehendakari Agirre, 23		48870	ARTZENTALES		94-6109367			maribel.angulo@ortzadar.es							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Cantón de la Iglesia, 2		1474	ARTZINIEGA		945 396 394		http://www.artziniegakoudala.com/	artziniega@aulastelematicas.com							no_accesible	no_accesible	no_accesible			Publikoa	2002	Artziniegako Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Kale Nagusia, 8		20159	ASTEASU		943 69 68 96			kult.asteasu@udal.gipuzkoa.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Kale Nagusia, 48		20115	ASTIGARRAGA		943 331 192			liburutegia@astigarraga.net							accesible	no_accesible	no_accesible			Publikoa	1988	Astigarrako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ		SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Elbarrena, 15 B		20211	ATAUN		943 180 478			liburutegia@ataun.net							accesible	no_accesible	no_accesible			Publikoa	1991	Ataungo Udala	Ayuntamiento		Libre 	Publico	General			SÍ	  		SÍ		SÍ	SÍ	SÍ			SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Foru plaza, 1		48291	ATXONDO		946 821 009			liburutegia@atxondo.net							accesible	no_accesible	no_accesible			Publikoa	1990	Atxondoko Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ				SÍ				
Udal Liburutegia		ejgv_biblio		Biblioteca	Donibane enparantza, 1		48380	AULESTI		946 279 006			biblioteka.aulesti@bizkaia.org							accesible	no_accesible	no_accesible			Publikoa	1992	Aulestiko Udala	Ayuntamiento		Libre 	Publico	General			SÍ						SÍ	SÍ	SÍ	SÍ	SÍ	
Aizkibel Udal Liburutegia		ejgv_biblio		Biblioteca	Trenbidearen zumardia, 1		20720	AZKOITIA		943 850 898			liburutegia@azkoitia.net							no_accesible	no_accesible	no_accesible			Publikoa	1959	Azkoitiko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ		SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	Enparan dorretxea		20730	AZPEITIA		943 157 195			liburutegia@azpeitia.net							accesible	no_accesible	no_accesible			Publikoa	1956	Azpeitiko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ		SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Agirre Lehendakaria plazea, 2		48130	BAKIO		94-6193369			liburutegia.bakio@bizkaia.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Andra Mari enparantza		20259	BALIARRAIN		943 889 003			baliarrain@udal.gipuzkoa.net							accesible	no_accesible	no_accesible			Publikoa	1983	Baliarraingo Udala	Ayuntamiento		Libre 	Publico	General			SÍ						SÍ					
Enrique de Bedia Liburutegia		ejgv_biblio		Biblioteca	San Juan plaza		48800	BALMASEDA		946 802 974			biblioteca@balmaseda.net							accesible	accesible	no_accesible			Publikoa	1956	Balmasedako Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Arrontegiko Liburutegia		ejgv_biblio		Biblioteca	Bizkaia, 36		48901	BARAKALDO		944 388 325			brontegi@barakaldo.org							no_accesible	no_accesible	no_accesible			Publikoa	1983	Barakaldo Udala	Ayuntamiento		Libre 	Publico	General			SÍ				SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	
Artegabeitiako Liburutegia		ejgv_biblio		Biblioteca	Plaza Murcia, 4		48902	BARAKALDO		944 789 510			barteagabeitia@barakaldo.org							sin_datos	sin_datos	sin_datos			Publikoa	1978	Barakaldo Udala	Ayuntamiento		Libre 	Publico	General			SÍ						SÍ	SÍ	SÍ		SÍ	
Gurutzetako Liburutegia		ejgv_biblio		Biblioteca	Camino Balejo		48903	BARAKALDO		944 789 490			bcruces@barakaldo.org							accesible	no_accesible	no_accesible			Publikoa	1975	Barakaldo Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
Liburutegi Nagusia		ejgv_biblio		Biblioteca	Antonio Trueba parkea, z/g		48901	BARAKALDO		944 370 801			bibliotecacentral@barakaldo.org							accesible	no_accesible	no_accesible			Publikoa	1975	Barakaldo Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ	SÍ	SÍ		SÍ	
Lutxanako Udal Liburutegia		ejgv_biblio		Biblioteca	Buen Pastor, 64 bajo		48903	BARAKALDO		944 789 495			blutxana@barakaldo.org							accesible	no_accesible	no_accesible			Publikoa	1976	Barakaldo Udala	Ayuntamiento		Libre 	Publico	General			SÍ						SÍ	SÍ	SÍ		SÍ	
Retuertoko Liburutegia		ejgv_biblio		Biblioteca	Avda. Euskadi, 82		48903	BARAKALDO		94-4789486			bretuerto@barakaldo.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
San Bixenteko Udal Liburutegia		ejgv_biblio		Biblioteca	Gernikako Arbola, 41		48902	BARAKALDO		944 386 699			bsanvicente@barakaldo.org							accesible	no_accesible	no_accesible			Publikoa	1973	Barakaldo Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	
Udal Liburutegia		ejgv_biblio		Biblioteca	Txintxilandia, 2		48650	BARRIKA		94-6775163			liburutegia@barrika.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
San Miguel Liburutegia		ejgv_biblio		Biblioteca	Nekazarien plaza, z/g		48970	BASAURI		94-4666398										sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Basozelaiko Liburutegi-Mediateka		ejgv_biblio		Biblioteca	Basozelai, 11		48970	BASAURI		94-4666400										sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Haur Liburutegia		ejgv_biblio		Biblioteca	Ibaigane, 2		48970	BASAURI		94-4666388										sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Kultur Etxeko Liburutegia		ejgv_biblio		Biblioteca	Ibaigane, 2		48970	BASAURI		94-4666388			bboado@basauri.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Pozokoetxeko Liburutegia		ejgv_biblio		Biblioteca	Erronkari ibarra, z/g		48970	BASAURI		94-4401594			pozokoetxe@euskalnet.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Loinazko San Martin Udal Biblioteka		ejgv_biblio		Biblioteca	San Martin plaza, z/g		20200	BEASAIN		943 028 070			biblioteka@beasain.net							accesible	no_accesible	no_accesible			Publikoa	1962	Beasaingo Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ		
Udal Liburutegia		ejgv_biblio		Biblioteca	Lehendakari Agirre plaza		48390	BEDIA		94-6314200			liburutegi.bedia@bizkaia.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Hiriburu, 23		20491	BELAUNTZA		943-670020			belauntza@euskalnet.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Simón de Otxandategi		48640	BERANGO		94-6682143										sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Herriko enparantza, 1		20492	BERASTEGI		943-683000			berastegi@udal.gipuzkoa.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Angiozarko Liburutegia		ejgv_biblio		Biblioteca	Eskoleta, z/g		20578	BERGARA		943-761619										sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Osintxuko Udal Liburutegia		ejgv_biblio		Biblioteca	Osintxu, 15		20570	BERGARA		943-779162										sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Errotalde jauregia		20570	BERGARA		943-779162			liburutegia@bergara.net							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Joxemiel Barandiaran Udal Liburutegia		ejgv_biblio		Biblioteca	Lamera, z/g		48370	BERMEO		946 179 151		http://www.liburutegia.bermeo.org	liburutegia@bermeo.org							accesible	no_accesible	no_accesible			Publikoa	1987	Bermeoko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Udal Liburutegia		ejgv_biblio		Biblioteca	Ribera, 40		48710	BERRIATUA		94-6137030										sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Geltoki kalea, 3		48240	BERRIZ		94-6225113			liburuteg.berriz@bizkaia.org							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Jose M. Goikoetxea, 28		20493	BERROBI		943-683294			liburutegia@hotmail.com							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Udal Liburutegia		ejgv_biblio		Biblioteca	Agerre azpi, 17 - 2		20496	BIDEGOIAN		943-240010			bidegoainliburutegia@hotmail.com							sin_datos	sin_datos	sin_datos			Publikoa			Ayuntamiento		Libre 	Publico	General														
Begoñako Udal Liburutegia		ejgv_biblio		Biblioteca	Circo Amateur del Club Deportivo, 2		48004	BILBAO		944 734 754		http://www.bilbao.net/bibliotecas	bibliotecabegona@ayto.bilbao.net							accesible	no_accesible	sin_datos			Publikoa	1997	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Bilbao Musika Udal Liburutegia		ejgv_biblio		Biblioteca	Sorkunde, 8		48005	BILBAO		944 164 785		http://www.bilbao.net/bibliotecas	bibliotecabm@ayto.bilbao.net							no_accesible	no_accesible	sin_datos			Publikoa	2003	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ						SÍ	SÍ	SÍ		SÍ	
Buiako Udal Liburutegia		ejgv_biblio		Biblioteca	Buia auzoa, 140		48003	BILBAO				http://www.bilbao.net/bibliotecas								accesible	no_accesible	no_accesible			Publikoa	1990	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ						SÍ		SÍ			
Castañoseko Udal Liburutegia		ejgv_biblio		Biblioteca	Castaños, 11		48007	BILBAO		944 203 404		http://www.bilbao.net/bibliotecas	bibliotecacastanos@ayto.bilbao.net							accesible	no_accesible	sin_datos			Publikoa	2009	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ				SÍ	SÍ	SÍ		SÍ	
Deustuko Udal Liburutegia		ejgv_biblio		Biblioteca	Lehendakari Agirre, 42		48014	BILBAO		944 474 604		http://www.bilbao.net/bibliotecas	bibliotecadeusto@ayto.bilbao.net							accesible	no_accesible	sin_datos			Publikoa	1998	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Errekaldeko Udal Liburutegia		ejgv_biblio		Biblioteca	Gordoniz, 49		48002	BILBAO		944 223 897		http://www.bilbao.net/bibliotecas	bibliotecarekalde@ayto.bilbao.net							accesible	no_accesible	no_accesible			Publikoa	1988	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
Ibaialdeko Liburutegia		ejgv_biblio		Biblioteca	Ibaialde, 3		48003	BILBAO		946 792 518		http://www.bilbao.net/bibliotecas	bibliotecaibaialde@ayto.bilbao.net							accesible	accesible	accesible			Publikoa	2011	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
Iralako Udal Liburutegia		ejgv_biblio		Biblioteca	Giña estrata, z/g		48012	BILBAO		944 436 501		http://www.bilbao.net/bibliotecas	bibliotecairala@ayto.bilbao.net							accesible	no_accesible	no_accesible			Publikoa	1989	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ				SÍ	SÍ	SÍ	SÍ		
Liburutegi Nagusia		ejgv_biblio		Biblioteca	Bidebarrieta, 4		48005	BILBAO		944 150 915		http://www.bilbao.net/bibliotecas	bidebarrieta@ayto.bilbao.net							accesible	no_accesible	sin_datos			Publikoa	1956	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ		SÍ	SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Otxarkoagako Udal Liburutegia		ejgv_biblio		Biblioteca	Pau Casals, 19		48004	BILBAO		944 128 749		http://www.bilbao.net/bibliotecas	bibliotecaotxarkoaga@ayto.bilbao.net							accesible	no_accesible	no_accesible			Publikoa	1967	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
San Adriango Udal Liburutegia		ejgv_biblio		Biblioteca	San Adrian etorbidea, 34		48003	BILBAO		944 447 832		http://www.bilbao.net/bibliotecas	bibliotecasanadrian@ayto.bilbao.net							accesible	no_accesible	no_accesible			Publikoa	1988	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ				SÍ	SÍ	SÍ	SÍ	SÍ	
San Frantzisko Liburutegia		ejgv_biblio		Biblioteca	Mariaren bihotza plaza, z/g		48003	BILBAO		944 150 681		http://www.bilbao.net/bibliotecas	bibliotecasanfrancisco@ayto.bilbao.net							accesible	no_accesible	no_accesible			Publikoa	1919	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
San Inazioko Udal Liburutegia		ejgv_biblio		Biblioteca	Lehendakari Agirre, 170		48015	BILBAO		944 752 104		http://www.bilbao.net/bibliotecas	bibliotecasignacio@ayto.bilbao.net							no_accesible	no_accesible	no_accesible			Publikoa	1966	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
Zabalako Udal Liburutegia		ejgv_biblio		Biblioteca	Bruno Mauricio Zabala, 41		48003	BILBAO		944 150 317		http://www.bilbao.net/bibliotecas	bibliotecazabala@ayto.bilbao.net							no_accesible	no_accesible	no_accesible			Publikoa	1992	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ		SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
Zorrozako Udal Liburutegia		ejgv_biblio		Biblioteca	Fray Juan, 35		48013	BILBAO		944 820 370		http://www.bilbao.net/bibliotecas	bibliotecazorroza@ayto.bilbao.net							accesible	no_accesible	sin_datos			Publikoa	1990	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ	SÍ	SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	SÍ
Zurbaranbarriko Udal Liburutegia		ejgv_biblio		Biblioteca	Iturriondo enparantza, 4		48007	BILBAO		944 466 001		http://www.bilbao.net/bibliotecas	bibliotecazurb@ayto.bilbao.net							accesible	no_accesible	no_accesible			Publikoa	1989	Bilboko Udala	Ayuntamiento		Libre 	Publico	General			SÍ			SÍ			SÍ	SÍ	SÍ	SÍ		
Udal Liburutegia		ejgv_biblio		Biblioteca	Altamira, 40		48350	BUSTURIA		946 171 004			liburutegia.busturia@bizkaia.org							no_accesible	no_accesible	no_accesible			Publikoa	1990	Busturiko Udala	Ayuntamiento		Libre 	Publico	General			SÍ	SÍ		SÍ			SÍ	SÍ	SÍ	SÍ	SÍ	
